id,post_id,parent_comment_id,comment,sender_id,user_id,status,action,type,created_at,updated_at
1,,,,4,7,1,Followed,Following,2019-08-26 08:43:56,2019-08-26 17:20:28
2,,,,1,4,1,Followed,Following,2019-08-26 08:48:21,2019-08-26 12:05:42
3,,,,3,45,0,Followed,Following,2019-08-26 08:51:39,2019-08-26 08:51:39
5,,,,1,4,1,Followed,Following,2019-08-26 10:32:46,2019-08-26 12:05:42
7,278.0,,Hey bro!,1,4,1,Commented,Post,2019-08-26 14:13:17,2019-08-26 14:13:25
8,360.0,,"This is an interesting write-up. I have a question though, in the quest to create solutions that saves time for people, you end up spending quite a fair of time. Also, sometimes it might not really be worth it. What metric can be used to determine how to balance this appropriately?",3,7,1,Commented,Post,2019-08-26 17:10:20,2019-08-26 17:20:28
9,360.0,,A nice write up,4,7,1,Commented,Post,2019-08-26 17:13:14,2019-08-26 17:20:28
10,,,,3,363,0,Followed,Following,2019-08-26 17:31:56,2019-08-26 17:31:56
11,143.0,,I have learnt how to publish an article and How to use Doc and to create a blog,2191,2191,0,Commented,Post,2019-08-26 17:44:23,2019-08-26 17:44:23
12,371.0,,That's awesome,9,3,1,Commented,Post,2019-08-26 18:15:45,2019-08-27 10:15:03
13,,,,834,856,0,Followed,Following,2019-08-26 18:32:35,2019-08-26 18:32:35
14,,,,2240,59,0,Followed,Following,2019-08-26 19:11:53,2019-08-26 19:11:53
15,371.0,,"wait, this works?",6,3,1,Commented,Post,2019-08-26 20:09:39,2019-08-27 10:15:03
16,371.0,,uhm... not really...,6,3,1,Commented,Post,2019-08-26 20:09:58,2019-08-27 10:15:03
17,,,,492,6,1,Followed,Following,2019-08-26 20:15:25,2019-08-26 22:39:57
18,,,,2245,6,1,Followed,Following,2019-08-26 20:15:44,2019-08-26 22:39:57
19,,,,1051,6,1,Followed,Following,2019-08-26 20:16:39,2019-08-26 22:39:57
20,,,,710,6,1,Followed,Following,2019-08-26 20:19:29,2019-08-26 22:39:57
21,,,,1043,11,0,Followed,Following,2019-08-26 20:22:22,2019-08-26 20:22:22
22,,,,868,6,1,Followed,Following,2019-08-26 20:24:41,2019-08-26 22:39:57
23,,,,612,6,1,Followed,Following,2019-08-26 20:28:59,2019-08-26 22:39:57
24,,,,847,6,1,Followed,Following,2019-08-26 20:29:07,2019-08-26 22:39:57
